189,月状骨,lunate
190,尺骨,ulna
191,中手骨,metacarpals
192,関節円板,articular disc
193,手根骨,carpal bones
194,三角骨,triquetrum
195,月状骨,lunate
196,鼻骨,nasal bone
197,眼窩下孔,infra-orbital foramen
198,眉弓,superciliary arch
199,オトガイ孔,mental foramen
200,上顎骨,maxilla
201,鼻稜,nasal crest
202,下顎骨歯槽部,alveolar part of mandible
203,梨状口,piriform aperture
204,前頭骨,frontal bone
205,眉間,glabella
206,下顎骨,mandible
207,オトガイ結節,mental tubercle
208,鼻根点 ,nasion
209,冠状縫合,coronal suture
210,オトガイ孔,mental foramen
211,眼窩下孔,infra-orbital foramen
212,上眼窩裂,superior orbital fissure
213,下顎角,angle of mandible
214,頬骨,zygomatic bone
215,涙骨,lacrimal bone
216,側頭骨鼓室部,tympanic part of temporal bone
217,側頭骨鱗部,squamous part of temporal bone
218,後頭骨,occipital bone
219,乳様突起,mastoid process
220,関節突起,condylar process
221,鼻骨,nasal bone
222,蝶形骨大翼,greater wing of sphenoid bone
223,鱗状縫合,squamous suture
224,プテリオン,pterion
225,オトガイ孔,mental foramen
226,冠状縫合,coronal suture
227,蝶鱗縫合,sphenosquamous suture
228,頬骨弓,zygomatic arch
229,外耳道,external acoustic meatus
230,乳様突起,mastoid process
231,冠状縫合,coronal suture
232,下顎角,angle of mandible
233,鱗状縫合,squamous suture
234,外後頭隆起,external occipital protuberance
235,矢状縫合,sagittal suture
236,イニオン,inion
237,外後頭稜,external occipital crest
238,頭頂骨,parietal bone
239,乳様突起,mastoid process
240,上項線,superior nuchal line
241,前頭骨,frontal bone
242,頭頂骨,parietal bone
243,矢状縫合,sagittal suture
244,後頭骨,occipital bone
245,冠状縫合,coronal suture
246,頚動脈管,carotid canal
247,大後頭孔,foramen magnum
248,歯槽弓,alveolar arch
249,切歯窩,incisive fossa
250,頚静脈孔,jugular foramen
251,大口蓋孔,greater palatine foramen
252,翼状突起外側板,lateral plate of pterygoid
253,卵円孔,foramen ovale
254,後頭顆,occipital condyle
255,耳管溝,groove for auditory tube
256,鋤骨,vomer
257,翼突窩,pterygoid fossa
258,蝶形骨体,body of sphenoid
259,口蓋骨錐体突起,pyramidal process of palatine bone
260,後鼻棘,posterior nasal spine
